Feature,P-value,Type,-log10(p),Significant
history_b_30,0.0,Numeric,10.0,True
history_a_2,0.0,Numeric,10.0,True
history_a_3,0.0,Numeric,10.0,True
history_a_5,0.0,Numeric,10.0,True
history_b_2,0.0,Numeric,10.0,True
history_a_1,0.0,Numeric,10.0,True
history_b_1,6.637015311874977e-296,Numeric,10.0,True
history_b_10,3.829593883486366e-213,Numeric,10.0,True
l_feat_5,1.1378890190900285e-143,Numeric,10.0,True
feat_e_7,6.953985602587743e-120,Numeric,10.0,True
feat_e_9,1.0287618204782282e-117,Numeric,10.0,True
feat_b_3,6.945616917026703e-109,Numeric,10.0,True
feat_b_4,3.3719957912392475e-96,Numeric,10.0,True
l_feat_16,4.428684396907459e-95,Numeric,10.0,True
l_feat_1,4.428684396907459e-95,Numeric,10.0,True
feat_e_1,8.581761312758105e-90,Numeric,10.0,True
history_b_17,6.570650953304421e-79,Numeric,10.0,True
feat_d_2,3.7704048853078e-75,Numeric,10.0,True
feat_d_3,5.136715616203258e-75,Numeric,10.0,True
l_feat_15,2.3964507316793535e-70,Numeric,10.0,True
history_b_15,5.044154695716147e-69,Numeric,10.0,True
history_b_3,5.139681297998878e-64,Numeric,10.0,True
feat_b_6,3.0673357984586166e-60,Numeric,10.0,True
history_b_20,1.257405010143397e-56,Numeric,10.0,True
feat_b_5,7.767121717189682e-55,Numeric,10.0,True
history_b_12,1.4153895554584654e-53,Numeric,10.0,True
history_b_5,1.4316524493384358e-53,Numeric,10.0,True
history_b_9,1.3923185702101943e-51,Numeric,10.0,True
history_b_26,1.1655977722302759e-49,Numeric,10.0,True
history_b_27,2.3898295866527444e-49,Numeric,10.0,True
history_b_28,8.502847963010775e-45,Numeric,10.0,True
feat_a_8,2.3066758643570346e-42,Numeric,10.0,True
history_b_4,3.647981205630927e-42,Numeric,10.0,True
history_b_11,4.0960955351248545e-41,Numeric,10.0,True
history_b_22,5.880968382863401e-41,Numeric,10.0,True
history_b_8,4.550498646217269e-40,Numeric,10.0,True
history_b_18,3.571048951847691e-39,Numeric,10.0,True
history_b_19,2.590963486947511e-38,Numeric,10.0,True
history_b_24,2.630741100944239e-38,Numeric,10.0,True
history_b_14,5.965959339988279e-38,Numeric,10.0,True
history_a_4,6.788397636813977e-38,Numeric,10.0,True
history_b_29,2.1313417935642574e-37,Numeric,10.0,True
history_b_21,3.768602440445615e-37,Numeric,10.0,True
history_b_16,3.809914018969215e-37,Numeric,10.0,True
history_b_23,6.047260121924112e-37,Numeric,10.0,True
history_b_25,9.218414675511207e-37,Numeric,10.0,True
history_b_6,9.64762990997548e-37,Numeric,10.0,True
history_b_7,2.222493982050633e-36,Numeric,10.0,True
history_b_13,8.861815650994256e-36,Numeric,10.0,True
history_a_6,4.433800473950445e-34,Numeric,10.0,True
feat_d_4,5.566618093509175e-34,Numeric,10.0,True
seq_length,1.2372147906184302e-26,Numeric,10.0,True
feat_a_14,7.06700106443124e-26,Numeric,10.0,True
l_feat_11,7.999172874686454e-25,Numeric,10.0,True
history_a_7,4.740470577549616e-24,Numeric,10.0,True
l_feat_3,1.3104707924183419e-23,Numeric,10.0,True
l_feat_9,1.419556650808021e-21,Numeric,10.0,True
l_feat_17,1.419556650808021e-21,Numeric,10.0,True
feat_c_4,2.826139519612566e-20,Numeric,10.0,True
feat_a_7,5.460402741953115e-20,Numeric,10.0,True
l_feat_19,5.9930596580229085e-18,Numeric,10.0,True
feat_a_18,8.76657918318949e-16,Numeric,10.0,True
l_feat_10,1.9272383351535822e-14,Numeric,10.0,True
feat_a_17,2.7631159297283388e-14,Numeric,10.0,True
feat_a_15,3.6930955688680075e-14,Numeric,10.0,True
l_feat_12,3.9669902515823336e-14,Numeric,10.0,True
feat_e_5,5.007333290168221e-14,Numeric,10.0,True
l_feat_6,1.1353513937053512e-12,Numeric,10.0,True
feat_d_1,2.300606958075016e-12,Numeric,10.0,True
feat_a_12,2.3644101102784914e-12,Numeric,10.0,True
feat_c_7,5.6719237215028375e-12,Numeric,10.0,True
feat_b_1,9.599944025459237e-12,Numeric,10.0,True
feat_a_5,1.0679225333105646e-11,Numeric,10.0,True
l_feat_7,2.8717706774354044e-11,Numeric,10.0,True
feat_c_6,4.72390190618411e-11,Numeric,10.0,True
feat_a_10,1.389240990145838e-09,Numeric,8.857222411128967,True
l_feat_25,2.7409665557943465e-09,Numeric,8.56209626352018,True
feat_b_2,4.156145763497752e-08,Numeric,7.381309229360138,True
feat_a_3,7.108234518228133e-08,Numeric,7.148238252181843,True
feat_e_10,1.2654215972949833e-07,Numeric,6.897764757591433,True
feat_c_5,2.642348660833477e-07,Numeric,6.57800987730231,True
feat_e_2,1.3485352857773269e-06,Numeric,5.870137685312023,True
feat_a_11,8.398788366233701e-06,Numeric,5.07578336201109,True
l_feat_2,1.0068808888197354e-05,Numeric,4.997021902224851,True
l_feat_14,0.00017627844602886112,Numeric,3.7538007866399115,True
l_feat_4,0.0002455730721965899,Numeric,3.609819256576394,True
feat_c_2,0.0003416915339111906,Numeric,3.4663657815793543,True
l_feat_13,0.00041202522238294236,Numeric,3.385076197543445,True
feat_d_5,0.0004129272789063543,Numeric,3.3841264257056536,True
feat_c_8,0.0004151471800223212,Numeric,3.38179790777061,True
l_feat_18,0.01491859244141548,Numeric,1.8262721503059054,True
feat_e_6,0.05156695976883229,Numeric,1.2876284725207847,False
l_feat_26,0.07897099560994328,Numeric,1.1025323866775933,False
feat_a_13,0.0818733674236854,Numeric,1.0868573468591367,False
feat_a_1,0.1013904206667797,Numeric,0.9940030750626562,False
feat_c_1,0.12751722517155298,Numeric,0.8944311462757102,False
feat_a_6,0.13315364293758464,Numeric,0.8756469472419505,False
feat_a_4,0.1811063280105624,Numeric,0.7420663747988321,False
feat_e_8,0.1849251202160707,Numeric,0.7330040902999267,False
feat_d_6,0.1964242396380944,Numeric,0.7068049193418765,False
feat_a_9,0.21704009376751324,Numeric,0.6634600316188121,False
is_weekend,0.49481779195849285,Numeric,0.30555469301527616,False
l_feat_27,0.5357443803824176,Numeric,0.27104237573495576,False
feat_a_16,0.5549887622417504,Numeric,0.25571581065355453,False
feat_c_3,0.8628171544349855,Numeric,0.0640812288889257,False
l_feat_8,,Numeric,,False
l_feat_20,,Numeric,,False
l_feat_21,,Numeric,,False
l_feat_22,,Numeric,,False
l_feat_23,,Numeric,,False
l_feat_24,,Numeric,,False
feat_e_4,,Numeric,,False
feat_a_2,,Numeric,,False
seq_unique,,Numeric,,False
seq_diversity,,Numeric,,False
